JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2402352.3740	8.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402354.3740	8.15			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402356.4240	8.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402358.4140	8.15			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402360.4340	8.20			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402364.3840	8.25			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402367.3640	8.30			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402368.4540	8.35			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402371.3840	8.75			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402374.4040	8.90			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402377.4140	9.15			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402383.4240	9.60			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402384.4240	9.55			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402386.4140	9.65			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402396.4340	9.80			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402584.2740	9.40			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402586.2440	9.20			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402593.2540	9.00			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402594.2340	8.75			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402606.2540	8.60			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402614.2640	8.75			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402620.2640	8.80			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402621.3340	8.90			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402623.2740	8.90			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402625.3840	9.05			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402626.2440	8.90			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402630.2640	9.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402632.3040	9.00			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402639.2540	9.05			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402641.3140	9.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402642.5540	9.15			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402645.3240	9.25			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402646.5040	9.20			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402647.2840	9.05			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402652.4640	9.40			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402675.5540	9.90			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402676.4140	10.70			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402678.5340	10.40			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402679.3440	10.60			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402681.5040	10.70			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402683.3040	10.80			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402697.3640	11.00			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402832.4140	9.00			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402837.3740	8.55			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402843.3440	8.35			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402873.3240	8.35			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402874.3140	8.40			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402875.3040	8.35			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402878.3440	8.35			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402881.3140	8.35			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402882.3440	8.55			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402883.3040	8.30			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402885.3040	8.55			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402887.2840	8.35			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402901.2540	8.70			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402916.3340	8.80			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402923.3640	9.00			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402934.2440	9.60			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402935.2540	9.70			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402937.3040	9.65			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402944.2640	9.85			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2403001.2940	9.80			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2403062.3440	10.70			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2403069.6140	10.25			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2403083.3440	9.70			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2403090.3840	9.60			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2403091.3840	9.60			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2403092.4040	9.55			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2403093.3840	9.40			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2403094.4140	9.50			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2403095.4240	9.50			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2403096.4840	9.50			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
2403097.4140	9.50			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				R CAM	AAVSO	STD		2009BCrAO.105...78B	PKV	
